turbine_id,cluster_id,score,year,lon,lat,province
COWTD-r1-000092,COWTD-CL-r1-gansu-000001,0.68204576,2024,96.71186741119526,40.956362751911826,gansu
COWTD-r1-000093,COWTD-CL-r1-gansu-000001,0.80663800,2023,96.28915425650119,40.95366594060099,gansu
COWTD-r1-000094,COWTD-CL-r1-gansu-000001,0.75334418,2024,96.79315161812156,40.95572229105498,gansu
COWTD-r1-000095,COWTD-CL-r1-gansu-000001,0.64361572,2023,96.21615413560903,40.95222678123813,gansu
COWTD-r1-000096,COWTD-CL-r1-gansu-000001,0.69531286,2023,96.23274514549848,40.95132723760037,gansu
COWTD-r1-000097,COWTD-CL-r1-gansu-000001,0.82521051,2023,96.3111960131937,40.951693442727354,gansu
COWTD-r1-000098,COWTD-CL-r1-gansu-000001,0.87204129,2021,95.56531162163083,40.95002702081153,gansu
COWTD-r1-000099,COWTD-CL-r1-gansu-000001,0.72647429,2024,96.69991825630859,40.954461791050115,gansu
COWTD-r1-000100,COWTD-CL-r1-gansu-000001,0.69635981,2021,95.57499240989273,40.949737019379306,gansu
COWTD-r1-000101,COWTD-CL-r1-gansu-000001,0.80412626,2021,96.40428362656165,40.951925197579705,gansu
COWTD-r1-000102,COWTD-CL-r1-gansu-000001,0.79343325,2024,96.57014412738589,40.95124357261206,gansu
COWTD-r1-000103,COWTD-CL-r1-gansu-000001,0.47882029,2022,96.83045615984156,40.9546697259133,gansu
COWTD-r1-000104,COWTD-CL-r1-gansu-000001,0.69645613,2021,96.38332209443432,40.95030581512923,gansu
COWTD-r1-000105,COWTD-CL-r1-gansu-000001,0.79781985,2021,96.37010463907245,40.9520742307036,gansu
COWTD-r1-000106,COWTD-CL-r1-gansu-000001,0.74265051,2024,96.54426270119076,40.952628206211706,gansu
COWTD-r1-000107,COWTD-CL-r1-gansu-000001,0.83337438,2024,96.8139168804555,40.953807966493024,gansu
COWTD-r1-000108,COWTD-CL-r1-gansu-000001,0.72020912,2023,96.20341731453664,40.951600398239336,gansu
COWTD-r1-000109,COWTD-CL-r1-gansu-000001,0.75269771,2024,96.71458227607216,40.95202626132139,gansu
COWTD-r1-000110,COWTD-CL-r1-gansu-000001,0.74813277,2022,96.82985502497104,40.95194589230014,gansu
COWTD-r1-000111,COWTD-CL-r1-gansu-000001,0.68184876,2024,96.7282419339608,40.95215366792292,gansu
COWTD-r1-000112,COWTD-CL-r1-gansu-000001,0.51748556,2024,96.7277264999575,40.95222916394876,gansu
COWTD-r1-000113,COWTD-CL-r1-gansu-000001,0.66552335,2024,96.5840229360674,40.9503444670712,gansu
COWTD-r1-000114,COWTD-CL-r1-gansu-000001,0.64878976,2024,96.79299597878526,40.95205542169696,gansu
COWTD-r1-000115,COWTD-CL-r1-gansu-000001,0.69318086,2021,96.370192748509,40.949160543834445,gansu
COWTD-r1-000116,COWTD-CL-r1-gansu-000001,0.86374545,2014,95.590572972269,40.94528471562506,gansu
COWTD-r1-000117,COWTD-CL-r1-gansu-000001,0.85107309,2014,95.60115853475509,40.945288481670595,gansu
COWTD-r1-000118,COWTD-CL-r1-gansu-000001,0.81505477,2014,95.54393867041652,40.945650602591314,gansu
COWTD-r1-000119,COWTD-CL-r1-gansu-000001,0.87191629,2023,96.23257228102374,40.94737939691519,gansu
COWTD-r1-000120,COWTD-CL-r1-gansu-000001,0.81455171,2014,95.5505829597132,40.94628312844153,gansu
COWTD-r1-000121,COWTD-CL-r1-gansu-000001,0.49366173,2023,96.3113831954979,40.9480346603717,gansu
